Chain length L,DPMC,TensorOrder,Cachet
2,0.01,0.052487850189208984,0.016109943389892578
3,0.012,0.06242251396179199,0.016469478607177734
4,0.017,0.06823897361755371,0.016262531280517578
5,0.017,0.072906494140625,0.0211946964263916
6,0.018,0.08273005485534668,0.01834583282470703
7,0.018,0.08883953094482422,0.02499079704284668
8,0.015,0.09532713890075684,0.026311635971069336
9,0.019,0.09934687614440918,0.040041446685791016
10,0.022,0.11331009864807129,0.06568789482116699
11,0.021,0.11987543106079102,0.1188809871673584
12,0.02,0.12563276290893555,0.22843384742736816
13,0.022,0.13482236862182617,0.4760441780090332
14,0.023,0.14016199111938477,0.9703977108001709
15,0.029,0.14957523345947266,2.0919883251190186
16,0.026,0.15818309783935547,4.4124321937561035
17,0.029,0.16598963737487793,9.27543330192566
18,0.029,0.1721329689025879,20.168203115463257
19,0.028,0.18762683868408203,41.99883985519409
